,x,y,z,rf
640,100,213,19,-26
641,99,213,19,-23
642,98,213,19,-23
643,97,213,19,-26
644,96,213,19,-24
645,95,213,19,-25
646,94,213,19,-34
647,93,213,19,-23
648,92,213,19,-30
649,91,213,19,-25
650,90,213,19,-25
651,89,213,19,-23
652,88,213,19,-27
653,87,213,19,-25
654,86,213,19,-30
655,85,213,19,-22
656,85,214,19,-29
657,86,214,19,-26
658,87,214,19,-32
659,88,214,19,-22
660,89,214,19,-27
661,90,214,19,-27
662,91,214,19,-25
663,92,214,19,-29
664,93,214,19,-25
665,94,214,19,-24
666,95,214,19,-23
667,96,214,19,-32
668,97,214,19,-31
669,98,214,19,-27
670,99,214,19,-26
671,100,214,19,-23
672,101,214,19,-22
673,102,214,19,-25
674,103,214,19,-27
675,104,214,19,-24
676,105,214,19,-28
677,106,214,19,-26
678,107,214,19,-27
679,108,214,19,-28
680,109,214,19,-27
681,110,214,19,-22
682,111,214,19,-29
683,112,214,19,-31
684,113,214,19,-27
685,114,214,19,-28
686,115,214,19,-27
687,116,214,19,-31
688,117,214,19,-25
689,118,214,19,-21
690,119,214,19,-29
691,120,214,19,-26
692,121,214,19,-26
693,122,214,19,-26
694,123,214,19,-27
695,124,214,19,-32
696,125,214,19,-25
697,125,215,19,-26
698,124,215,19,-29
699,123,215,19,-24
700,122,215,19,-27
701,121,215,19,-31
702,120,215,19,-20
703,119,215,19,-29
704,118,215,19,-23
705,117,215,19,-23
706,116,215,19,-26
707,115,215,19,-26
708,114,215,19,-23
709,113,215,19,-22
710,112,215,19,-24
711,111,215,19,-32
712,110,215,19,-28
713,109,215,19,-27
714,108,215,19,-25
715,107,215,19,-29
716,106,215,19,-26
717,105,215,19,-28
718,104,215,19,-25
719,103,215,19,-30
720,102,215,19,-27
721,101,215,19,-28
722,100,215,19,-27
723,99,215,19,-25
724,98,215,19,-26
725,97,215,19,-25
726,96,215,19,-24
727,95,215,19,-24
728,94,215,19,-27
729,93,215,19,-26
730,92,215,19,-26
731,91,215,19,-26
732,90,215,19,-27
733,89,215,19,-28
734,88,215,19,-25
735,87,215,19,-24
736,86,215,19,-28
737,85,215,19,-24
738,85,216,19,-28
739,86,216,19,-21
740,87,216,19,-28
741,88,216,19,-27
742,89,216,19,-26
743,90,216,19,-30
744,91,216,19,-28
745,92,216,19,-26
746,93,216,19,-25
747,94,216,19,-27
748,95,216,19,-26
749,96,216,19,-26
750,97,216,19,-21
751,98,216,19,-26
752,99,216,19,-22
753,100,216,19,-22
754,101,216,19,-26
755,102,216,19,-24
756,103,216,19,-25
757,104,216,19,-28
758,105,216,19,-28
759,106,216,19,-29
760,107,216,19,-21
761,108,216,19,-25
762,109,216,19,-27
763,110,216,19,-26
764,111,216,19,-27
765,112,216,19,-23
766,113,216,19,-24
767,114,216,19,-23
768,115,216,19,-29
769,116,216,19,-29
770,117,216,19,-23
771,118,216,19,-31
772,119,216,19,-29
773,120,216,19,-23
774,121,216,19,-25
775,122,216,19,-24
776,123,216,19,-27
777,124,216,19,-21
778,125,216,19,-23
779,125,217,19,-25
780,124,217,19,-24
781,123,217,19,-26
782,122,217,19,-25
783,121,217,19,-22
784,120,217,19,-22
785,119,217,19,-25
786,118,217,19,-27
787,117,217,19,-27
788,116,217,19,-24
789,115,217,19,-23
790,114,217,19,-27
791,113,217,19,-26
792,112,217,19,-22
793,111,217,19,-28
794,110,217,19,-27
795,109,217,19,-23
796,108,217,19,-24
797,107,217,19,-23
798,106,217,19,-30
799,105,217,19,-25
800,104,217,19,-23
801,103,217,19,-24
802,102,217,19,-25
803,101,217,19,-25
804,100,217,19,-24
805,99,217,19,-27
806,98,217,19,-26
807,97,217,19,-23
808,96,217,19,-28
809,95,217,19,-24
810,94,217,19,-25
811,93,217,19,-28
812,92,217,19,-27
813,91,217,19,-20
814,90,217,19,-28
815,89,217,19,-30
816,88,217,19,-26
817,87,217,19,-23
818,86,217,19,-20
819,85,217,19,-25
820,85,218,19,-23
821,86,218,19,-25
822,87,218,19,-25
823,88,218,19,-28
824,89,218,19,-24
825,90,218,19,-25
826,91,218,19,-27
827,92,218,19,-26
828,93,218,19,-27
829,94,218,19,-26
830,95,218,19,-29
831,96,218,19,-27
832,97,218,19,-30
833,98,218,19,-26
834,99,218,19,-27
835,100,218,19,-27
836,101,218,19,-27
837,102,218,19,-29
838,103,218,19,-27
839,104,218,19,-27
840,105,218,19,-24
841,106,218,19,-28
842,107,218,19,-31
843,108,218,19,-25
844,109,218,19,-22
845,110,218,19,-23
846,111,218,19,-23
847,112,218,19,-25
848,113,218,19,-25
849,114,218,19,-27
850,115,218,19,-22
851,116,218,19,-24
852,117,218,19,-26
853,118,218,19,-26
854,119,218,19,-29
855,120,218,19,-26
856,121,218,19,-29
857,122,218,19,-22
858,123,218,19,-23
859,124,218,19,-25
860,125,218,19,-22
861,125,219,19,-27
862,124,219,19,-24
863,123,219,19,-25
864,122,219,19,-25
865,121,219,19,-30
866,120,219,19,-26
867,119,219,19,-23
868,118,219,19,-25
869,117,219,19,-28
870,116,219,19,-25
871,115,219,19,-23
872,114,219,19,-27
873,113,219,19,-25
874,112,219,19,-30
875,111,219,19,-22
876,110,219,19,-23
877,109,219,19,-23
878,108,219,19,-28
879,107,219,19,-26
880,106,219,19,-27
881,105,219,19,-27
882,104,219,19,-23
883,103,219,19,-25
884,102,219,19,-19
885,101,219,19,-28
886,100,219,19,-27
887,99,219,19,-27
888,98,219,19,-27
889,97,219,19,-28
890,96,219,19,-21
891,95,219,19,-21
892,94,219,19,-30
893,93,219,19,-24
894,92,219,19,-25
895,91,219,19,-27
896,90,219,19,-29
897,89,219,19,-27
898,88,219,19,-24
899,87,219,19,-21
900,86,219,19,-27
901,85,219,19,-26
902,85,220,19,-20
903,86,220,19,-26
904,87,220,19,-27
905,88,220,19,-33
906,89,220,19,-24
907,90,220,19,-24
908,91,220,19,-24
909,92,220,19,-27
910,93,220,19,-26
911,94,220,19,-26
912,95,220,19,-24
913,96,220,19,-29
914,97,220,19,-24
915,98,220,19,-33
916,99,220,19,-28
917,100,220,19,-28
918,101,220,19,-23
919,102,220,19,-24
920,103,220,19,-26
921,104,220,19,-24
922,105,220,19,-22
923,106,220,19,-25
924,107,220,19,-22
925,108,220,19,-26
926,109,220,19,-25
927,110,220,19,-24
928,111,220,19,-23
929,112,220,19,-22
930,113,220,19,-28
931,114,220,19,-22
932,115,220,19,-26
933,116,220,19,-21
934,117,220,19,-28
935,118,220,19,-24
936,119,220,19,-24
937,120,220,19,-27
938,121,220,19,-25
939,122,220,19,-24
940,123,220,19,-29
941,124,220,19,-33
942,125,220,19,-28
943,125,221,19,-26
944,124,221,19,-24
945,123,221,19,-24
946,122,221,19,-24
947,121,221,19,-23
948,120,221,19,-24
949,119,221,19,-25
950,118,221,19,-29
951,117,221,19,-28
952,116,221,19,-29
953,115,221,19,-27
954,114,221,19,-21
955,113,221,19,-26
956,112,221,19,-27
957,111,221,19,-30
958,110,221,19,-23
959,109,221,19,-23
