,x,y,z
1285,111,229,95.34
1286,110,229,98.44
1287,109,229,87.26
1288,108,229,95.14
1289,107,229,94.88
1290,106,229,94.2
1291,105,229,90.42
1292,104,229,91.3
1293,103,229,98.1
1294,102,229,99.22
1295,101,229,99.84
1296,100,229,99.38
1297,99,229,100.88
1298,98,229,93.96
1299,97,229,92.6
1300,96,229,96.22
1301,95,229,92.86
1302,94,229,96.36
1303,93,229,91.68
1304,92,229,92.66
1305,91,229,94.66
1306,90,229,90.86
1307,89,229,97.62
1308,88,229,99.34
1309,87,229,91.92
1310,86,229,88.32
1311,85,229,98.96
1312,85,230,90.44
1313,86,230,94.56
1314,87,230,95.14
1315,88,230,92.8
1316,89,230,96.9
1317,90,230,88.44
1318,91,230,86.38
1319,92,230,91.18
1320,93,230,94.74
1321,94,230,96.46
1322,95,230,97.68
1323,96,230,98.68
1324,97,230,99.62
1325,98,230,99.36
1326,99,230,99.4
1327,100,230,101.98
1328,101,230,92.92
1329,102,230,99.16
1330,103,230,94.22
1331,104,230,92.3
1332,105,230,96.06
1333,106,230,97.5
1334,107,230,104.58
1335,108,230,99.16
1336,109,230,90.08
1337,110,230,99.42
1338,111,230,95.46
1339,112,230,99.08
1340,113,230,101.7
1341,114,230,97.46
1342,115,230,100.84
1343,116,230,89.32
1344,117,230,95.82
1345,118,230,90.76
1346,119,230,83.7
1347,120,230,94.3
1348,121,230,102.62
1349,122,230,97.18
1350,123,230,106.24
1351,124,230,105.44
1352,125,230,105.28
